"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 10:43:42 UTC 2024","Tue Apr 16 10:44:36 UTC 2024","53543","","Login validation - App Joven Android","","Login validation - App Joven Android","As a BPD user, I can not login in the Joven app when ""incorrect credentials""","As a BPD user, I can not login in the Joven app when ""incorrect credentials""",""
"failed","Tue Apr 16 10:56:45 UTC 2024","Tue Apr 16 10:58:26 UTC 2024","100762","","Login validation - App Joven Android","","Login validation - App Joven Android","As a BPD user, With the user ""lety18"", I can see my session logged out after 5 minutes of inactivity in the Joven app","As a BPD user, With the user ""lety18"", I can see my session logged out after 5 minutes of inactivity in the Joven app",""
"failed","Tue Apr 16 10:40:12 UTC 2024","Tue Apr 16 10:41:53 UTC 2024","101174","","Login validation - App Joven Android","","Login validation - App Joven Android","As a BPD user, I can login with the user ""lety18"" in the Joven app","As a BPD user, I can login with the user ""lety18"" in the Joven app",""
"passed","Tue Apr 16 10:42:49 UTC 2024","Tue Apr 16 10:43:42 UTC 2024","53453","","Login validation - App Joven Android","","Login validation - App Joven Android","As a BPD user, I can not login in the Joven app when ""incorrect pasword""","As a BPD user, I can not login in the Joven app when ""incorrect pasword""",""
"passed","Tue Apr 16 10:41:55 UTC 2024","Tue Apr 16 10:42:49 UTC 2024","53522","","Login validation - App Joven Android","","Login validation - App Joven Android","As a BPD user, I can not login in the Joven app when ""user does not exist""","As a BPD user, I can not login in the Joven app when ""user does not exist""",""
"failed","Tue Apr 16 10:58:29 UTC 2024","Tue Apr 16 11:00:09 UTC 2024","100143","","Login validation - App Joven Android","","Login validation - App Joven Android","As a BPD user, With the user ""lety18"", I can login after of my session is logged out after 5 minutes of inactivity in the Joven app","As a BPD user, With the user ""lety18"", I can login after of my session is logged out after 5 minutes of inactivity in the Joven app",""
"passed","Tue Apr 16 10:39:41 UTC 2024","Tue Apr 16 10:40:12 UTC 2024","31133","","Login validation - App Joven Android","","Login validation - App Joven Android","As a BPD user, I can see my password of my ""lety18"" in the Joven app","As a BPD user, I can see my password of my ""lety18"" in the Joven app",""
"failed","Tue Apr 16 10:52:59 UTC 2024","Tue Apr 16 10:54:38 UTC 2024","99853","","Login validation - App Joven Android","","Login validation - App Joven Android","As a BPD user, I can log with the user ""lety18"" once again in the Joven app after entering my correct password with my profile linked","As a BPD user, I can log with the user ""lety18"" once again in the Joven app after entering my correct password with my profile linked",""
"failed","Tue Apr 16 10:50:55 UTC 2024","Tue Apr 16 10:52:56 UTC 2024","121227","","Login validation - App Joven Android","","Login validation - App Joven Android","As a BPD user, I can not log into the Joven app when my password is incorrect from my profile linked with the user ""lety18""","As a BPD user, I can not log into the Joven app when my password is incorrect from my profile linked with the user ""lety18""",""
"failed","Tue Apr 16 10:54:41 UTC 2024","Tue Apr 16 10:56:43 UTC 2024","121596","","Login validation - App Joven Android","","Login validation - App Joven Android","As a BPD user, With the user ""lety18"" and with profile linked, I can sing off my session in the Joven app","As a BPD user, With the user ""lety18"" and with profile linked, I can sing off my session in the Joven app",""
"failed","Tue Apr 16 10:44:36 UTC 2024","Tue Apr 16 10:46:57 UTC 2024","140979","","Login validation - App Joven Android","","Login validation - App Joven Android","As a BPD user, When I see an invalid credentials alert when ""password is incorrect"", I can log once again in the Joven app after entering my correct credentials","As a BPD user, When I see an invalid credentials alert when ""password is incorrect"", I can log once again in the Joven app after entering my correct credentials",""
"failed","Tue Apr 16 11:00:33 UTC 2024","Tue Apr 16 11:02:13 UTC 2024","99980","","Login validation - App Joven Android","","Login validation - App Joven Android","As a BPD user, With the user ""lety18"" and with profile linked, I have the option recovery password in the Joven app","As a BPD user, With the user ""lety18"" and with profile linked, I have the option recovery password in the Joven app",""
"passed","Tue Apr 16 10:39:15 UTC 2024","Tue Apr 16 10:39:41 UTC 2024","25102","","Login validation - App Joven Android","","Login validation - App Joven Android","As a BPD user, I can start the login process in the Joven app","As a BPD user, I can start the login process in the Joven app",""
"failed","Tue Apr 16 10:47:00 UTC 2024","Tue Apr 16 10:48:48 UTC 2024","108710","","Login validation - App Joven Android","","Login validation - App Joven Android","As a BPD user, With the user ""lety18"", I can logout my session after login into the Joven app","As a BPD user, With the user ""lety18"", I can logout my session after login into the Joven app",""
"passed","Tue Apr 16 11:00:11 UTC 2024","Tue Apr 16 11:00:33 UTC 2024","21772","","Login validation - App Joven Android","","Login validation - App Joven Android","As a BPD user, From login, I can access the option problems with the login in the Joven app","As a BPD user, From login, I can access the option problems with the login in the Joven app",""
"failed","Tue Apr 16 10:48:51 UTC 2024","Tue Apr 16 10:50:52 UTC 2024","121582","","Login validation - App Joven Android","","Login validation - App Joven Android","As a BPD user, I can login with the user ""lety18"" in the Joven app only with my password after I close mi session in the Joven app","As a BPD user, I can login with the user ""lety18"" in the Joven app only with my password after I close mi session in the Joven app",""
